iter	RMSE
0	14.31476851
1	14.00817026
2	13.72542791
3	13.45781207
4	13.21537745
5	12.98110538
6	12.76638931
7	12.56240893
8	12.36690423
9	12.19253293
10	12.03218294
11	11.877425
12	11.7327925
13	11.60661264
14	11.4840433
15	11.37365557
16	11.27790114
17	11.17873704
18	11.08879547
19	11.00418512
20	10.91638945
21	10.84600555
22	10.78326296
23	10.71997683
24	10.66376865
25	10.608093
26	10.56088039
27	10.50818557
28	10.46759104
29	10.42769132
30	10.39191425
31	10.35871095
32	10.32972335
33	10.29832408
34	10.26926203
35	10.24334653
36	10.2173749
37	10.19390434
38	10.17235809
39	10.15224307
40	10.13254188
41	10.11774022
42	10.09966602
43	10.08431192
44	10.06830062
45	10.05505482
46	10.04229434
47	10.03034111
48	10.01740479
49	10.00634279
50	9.996010708
51	9.986332857
52	9.976297947
53	9.96786454
54	9.95733559
55	9.948354115
56	9.941061325
57	9.933848497
58	9.927476728
59	9.920528644
60	9.913161126
61	9.907432159
62	9.902221043
63	9.898263897
64	9.891688186
65	9.886162424
66	9.882463014
67	9.877160575
68	9.872097828
69	9.867563494
70	9.862072267
71	9.855932846
72	9.848548466
73	9.844095981
74	9.840439406
75	9.834166383
76	9.830176278
77	9.826785567
78	9.821444707
79	9.816089358
80	9.811818291
81	9.808572077
82	9.804793629
83	9.80228668
84	9.79847694
85	9.792792209
86	9.788478329
87	9.785277256
88	9.781942461
89	9.779218314
90	9.775073656
91	9.773077828
92	9.769195562
93	9.762956598
94	9.76017649
95	9.757537622
96	9.75481802
97	9.75286979
98	9.750286397
99	9.74799463
100	9.740953894
101	9.736999513
102	9.732796395
103	9.73037742
104	9.726611085
105	9.721542341
106	9.720337315
107	9.719056306
108	9.71694049
109	9.713293216
110	9.710941841
111	9.702851113
112	9.700663277
113	9.695785614
114	9.693623106
115	9.689709642
116	9.686310382
117	9.68468003
118	9.682834098
119	9.681321484
120	9.679219264
121	9.676271248
122	9.674159422
123	9.670732462
124	9.668543239
125	9.666980979
126	9.664681787
127	9.66270574
128	9.661297169
129	9.660049727
130	9.658007468
131	9.656677035
132	9.655754076
133	9.65380556
134	9.651251716
135	9.6480715
136	9.642425159
137	9.640868245
138	9.638521353
139	9.636692669
140	9.633290488
141	9.630891309
142	9.628417987
143	9.627384119
144	9.626409694
145	9.624611441
146	9.621427327
147	9.616841998
148	9.613190027
149	9.609873171
150	9.608600426
151	9.607086485
152	9.604985467
153	9.602070263
154	9.598912074
155	9.59654237
156	9.59416499
157	9.591666815
158	9.589455171
159	9.58676036
160	9.585220675
161	9.581962414
162	9.579756402
163	9.576519974
164	9.570932815
165	9.565424648
166	9.563064981
167	9.560989739
168	9.557559904
169	9.55402863
170	9.55200383
171	9.548571498
172	9.546422332
173	9.544418208
174	9.541847589
175	9.540540101
176	9.538776766
177	9.536356251
178	9.534196288
179	9.533115242
180	9.530948153
181	9.528538297
182	9.526510235
183	9.523931875
184	9.521098786
185	9.51890632
186	9.515747781
187	9.513604511
188	9.511231035
189	9.508296343
190	9.505699185
191	9.501291027
192	9.499400269
193	9.496608225
194	9.493716741
195	9.491656576
196	9.489387182
197	9.488131682
198	9.486580667
199	9.482976637
200	9.480545743
201	9.478847649
202	9.477512261
203	9.473944163
204	9.472153618
205	9.470050352
206	9.466859618
207	9.464607493
208	9.46224128
209	9.460587948
210	9.457966983
211	9.455301746
212	9.452934702
213	9.451302559
214	9.450085576
215	9.44762533
216	9.44510583
217	9.443030836
218	9.438624082
219	9.435688267
220	9.432452216
221	9.429790677
