iter	Passed	Remaining
0	62	24755
1	65	12966
2	67	8950
3	70	6939
4	72	5742
5	75	4929
6	77	4373
7	80	3936
8	82	3601
9	85	3334
10	88	3112
11	90	2934
12	93	2773
13	95	2635
14	98	2525
15	100	2422
16	103	2328
17	106	2250
18	109	2186
19	111	2117
20	113	2054
21	116	1996
22	118	1949
23	121	1899
24	123	1857
25	126	1818
26	128	1778
27	131	1744
28	133	1710
29	136	1684
30	139	1659
31	142	1639
32	145	1619
33	148	1596
34	151	1576
35	155	1576
36	159	1561
37	162	1548
38	165	1530
39	168	1514
40	171	1505
41	175	1498
42	179	1489
43	182	1479
44	185	1464
45	188	1453
46	191	1441
47	195	1431
48	198	1423
49	201	1413
50	204	1400
51	207	1391
52	210	1380
53	213	1368
54	216	1355
55	218	1342
56	221	1331
57	223	1318
58	225	1305
59	228	1296
60	231	1287
61	233	1275
62	236	1264
63	238	1252
64	240	1241
65	243	1231
66	245	1221
67	247	1210
68	250	1201
69	252	1192
70	255	1184
71	258	1178
72	261	1170
73	263	1161
74	265	1151
75	268	1145
76	271	1137
77	273	1130
78	276	1123
79	279	1117
80	282	1111
81	285	1106
82	288	1102
83	291	1096
84	294	1090
85	297	1086
86	300	1079
87	303	1074
88	305	1068
89	308	1061
90	310	1055
91	312	1047
92	315	1040
93	317	1034
94	320	1027
95	322	1020
96	324	1014
97	326	1006
98	329	1001
99	331	994
100	334	988
101	336	983
102	339	977
103	341	971
104	343	965
105	345	959
106	348	953
107	350	948
108	353	943
109	356	939
110	358	933
111	361	928
112	363	923
113	366	919
114	369	915
115	371	909
116	373	904
117	376	899
118	378	893
119	380	888
120	382	883
121	385	878
122	387	873
123	389	867
124	392	862
125	395	859
126	398	856
127	400	851
128	402	846
129	405	841
130	408	838
131	410	833
132	412	828
133	415	823
134	417	819
135	420	816
136	422	811
137	425	807
138	427	802
139	429	798
140	432	793
141	435	790
142	437	786
143	439	782
144	442	779
145	445	774
146	448	771
147	450	767
148	453	763
149	455	759
150	458	755
151	460	751
152	463	747
153	465	743
154	468	739
155	470	736
156	473	732
157	476	729
158	478	725
159	481	722
160	483	718
161	486	714
162	489	711
163	491	707
164	493	703
165	496	699
166	498	695
167	501	691
168	503	688
169	506	684
170	508	680
171	510	677
172	513	673
173	515	669
174	518	666
175	520	662
176	523	659
177	526	656
178	529	653
179	531	650
180	534	646
181	536	642
182	539	639
183	541	635
184	543	632
185	546	628
186	548	625
187	551	621
188	554	618
189	556	615
190	559	612
191	562	609
192	564	605
193	566	601
194	569	598
195	571	595
196	574	591
197	576	588
198	579	584
199	581	581
200	583	577
201	586	574
202	588	571
203	590	567
204	593	564
205	595	560
206	597	557
207	600	553
208	602	550
209	604	547
210	607	543
211	609	540
212	612	537
213	614	533
214	616	530
215	619	527
216	622	524
217	624	521
218	626	518
219	629	514
220	631	511
221	636	509
222	638	507
223	641	504
224	644	501
225	647	498
226	649	495
227	652	492
228	654	488
229	657	486
230	659	482
231	662	479
232	664	476
233	667	473
234	670	470
235	672	467
236	674	464
237	676	460
238	679	457
239	682	454
240	684	451
241	687	448
242	689	445
243	691	442
244	694	439
245	696	435
246	698	432
247	700	429
248	703	426
249	705	423
250	707	420
251	710	417
252	712	414
253	715	411
254	717	408
255	720	405
256	722	402
257	725	399
258	727	395
259	729	392
260	731	389
261	733	386
262	735	383
263	738	380
264	740	377
265	743	374
266	745	371
267	747	368
268	750	365
269	753	362
270	756	359
271	758	356
272	760	353
273	763	351
274	766	348
275	769	345
276	771	342
277	773	339
278	776	336
279	778	333
280	780	330
281	782	327
282	785	324
283	787	321
284	790	318
285	792	315
286	795	313
287	797	310
288	799	307
289	801	304
290	804	301
291	806	298
292	808	295
293	811	292
294	813	289
295	815	286
296	818	283
297	820	280
298	822	277
299	824	274
300	827	272
301	829	269
302	831	266
303	834	263
304	836	260
305	838	257
306	841	254
307	843	251
308	845	249
309	848	246
310	850	243
311	853	240
312	855	237
313	857	234
314	860	232
315	863	229
316	865	226
317	867	223
318	870	220
319	872	218
320	875	215
321	877	212
322	880	209
323	882	206
324	884	204
325	887	201
326	889	198
327	891	195
328	894	192
329	896	190
330	898	187
331	901	184
332	904	181
333	906	179
334	909	176
335	911	173
336	913	170
337	915	168
338	918	165
339	920	162
340	922	159
341	925	156
342	927	154
343	930	151
344	932	148
345	934	145
346	936	143
347	939	140
348	941	137
349	943	134
350	945	132
351	948	129
352	951	126
353	953	123
354	956	121
355	959	118
356	961	115
357	964	113
358	966	110
359	968	107
360	971	104
361	973	102
362	976	99
363	979	96
364	981	94
365	983	91
366	986	88
367	988	85
368	990	83
369	993	80
370	995	77
371	997	75
372	999	72
373	1002	69
374	1004	66
375	1006	64
376	1009	61
377	1011	58
378	1014	56
379	1016	53
380	1018	50
381	1020	48
382	1023	45
383	1025	42
384	1028	40
385	1030	37
386	1033	34
387	1035	32
388	1038	29
389	1040	26
390	1043	24
391	1045	21
392	1047	18
393	1049	15
394	1052	13
395	1054	10
396	1056	7
397	1059	5
398	1061	2
399	1063	0
